Game Turn, Player, Boosted System, Progress
228, 2, CIVIC_CIVIL_ENGINEERING, Unstarted
232, 5, CIVIC_COLONIALISM, Unstarted
233, 4, TECH_RIFLING, Unstarted
234, 0, TECH_ASTRONOMY, Unstarted
234, 13, CIVIC_NATIONALISM, Unstarted
234, 11, CIVIC_NATIONALISM, Unstarted
234, 4, TECH_CASTLES, Unstarted
235, 13, TECH_METAL_CASTING, Completed
236, 13, TECH_MASS_PRODUCTION, Unstarted
237, 4, TECH_MASS_PRODUCTION, Unstarted
238, 13, CIVIC_COLONIALISM, Unstarted
243, 7, CIVIC_COLONIALISM, Unstarted
243, 12, CIVIC_COLONIALISM, Unstarted
247, 11, CIVIC_COLONIALISM, Unstarted
247, 14, CIVIC_COLONIALISM, Unstarted
248, 0, CIVIC_FEUDALISM, Unstarted
248, 5, CIVIC_CIVIL_ENGINEERING, Unstarted
249, 4, TECH_SQUARE_RIGGING, Unstarted
253, 8, CIVIC_COLONIALISM, Unstarted
253, 8, TECH_METAL_CASTING, Completed
254, 1, CIVIC_DIVINE_RIGHT, Unstarted
254, 4, TECH_BANKING, Unstarted
255, 2, TECH_SYNTHETIC_MATERIALS, Unstarted
256, 4, CIVIC_DIVINE_RIGHT, Unstarted
257, 4, TECH_MILITARY_SCIENCE, Unstarted
257, 6, CIVIC_COLONIALISM, Unstarted
260, 4, CIVIC_DIPLOMATIC_SERVICE, Unstarted
262, 2, CIVIC_MASS_MEDIA, Unstarted
264, 9, CIVIC_COLONIALISM, Unstarted
265, 5, CIVIC_OPERA_BALLET, Unstarted
270, 12, TECH_SCIENTIFIC_THEORY, Completed
277, 2, CIVIC_NUCLEAR_PROGRAM, Unstarted
287, 3, CIVIC_NUCLEAR_PROGRAM, Unstarted
296, 11, CIVIC_SCORCHED_EARTH, Unstarted
298, 3, CIVIC_MASS_MEDIA, Unstarted
302, 4, TECH_ASTRONOMY, In Progress
308, 0, TECH_MILITARY_SCIENCE, Unstarted
308, 5, CIVIC_NUCLEAR_PROGRAM, Unstarted
310, 2, TECH_NANOTECHNOLOGY, Unstarted
314, 13, CIVIC_SCORCHED_EARTH, Unstarted
315, 1, CIVIC_MASS_MEDIA, Unstarted
315, 11, CIVIC_MASS_MEDIA, Unstarted
315, 14, CIVIC_MASS_MEDIA, Unstarted
317, 13, CIVIC_MASS_MEDIA, Unstarted
318, 6, CIVIC_MASS_MEDIA, Unstarted
318, 8, CIVIC_MASS_MEDIA, Unstarted
318, 9, CIVIC_MASS_MEDIA, Unstarted
320, 12, CIVIC_MASS_MEDIA, Unstarted
321, 5, TECH_SYNTHETIC_MATERIALS, Unstarted
325, 0, CIVIC_SCORCHED_EARTH, Unstarted
329, 7, CIVIC_NATIONALISM, Completed
333, 5, TECH_NANOTECHNOLOGY, Unstarted
340, 7, CIVIC_MASS_MEDIA, Unstarted
344, 2, CIVIC_OPERA_BALLET, Unstarted
347, 4, CIVIC_SCORCHED_EARTH, Unstarted
353, 2, CIVIC_COLD_WAR, Unstarted
