Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
230, Granted to Player, GREAT_PERSON_INDIVIDUAL_JAKOB_FUGGER, GREAT_PERSON_CLASS_MERCHANT, ERA_RENAISSANCE, 240, 2, 230
230, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ADAM_SMITH, GREAT_PERSON_CLASS_MERCHANT, ERA_INDUSTRIAL, 420, -1, -1
231, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAKOB_FUGGER, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 2
233, Granted to Player, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, 1, 233
233, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_QIU_YING, GREAT_PERSON_CLASS_ARTIST, ERA_INDUSTRIAL, 420, -1, -1
235, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, Era TBD, 1
242, Granted to Player, GREAT_PERSON_INDIVIDUAL_ALBERT_EINSTEIN, GREAT_PERSON_CLASS_SCIENTIST, ERA_MODERN, 855, 2, 242
242, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ALFRED_NOBEL, GREAT_PERSON_CLASS_SCIENTIST, ERA_MODERN, 660, -1, -1
247, Granted to Player, GREAT_PERSON_INDIVIDUAL_ALFRED_NOBEL, GREAT_PERSON_CLASS_SCIENTIST, ERA_MODERN, 660, 5, 247
247, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ALAN_TURING, GREAT_PERSON_CLASS_SCIENTIST, ERA_MODERN, 660, -1, -1
248, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ALBERT_EINSTEIN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
248, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ALFRED_NOBEL, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 5
258, Granted to Player, GREAT_PERSON_INDIVIDUAL_ALAN_TURING, GREAT_PERSON_CLASS_SCIENTIST, ERA_MODERN, 660, 3, 258
258, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JANAKI_AMMAL, GREAT_PERSON_CLASS_SCIENTIST, ERA_ATOMIC, 1245, -1, -1
258, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ALAN_TURING, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 3
262, Granted to Player, GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE, GREAT_PERSON_CLASS_GENERAL, ERA_INDUSTRIAL, 545, 4, 262
262, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JOHN_MONASH, GREAT_PERSON_CLASS_GENERAL, ERA_MODERN, 660, -1, -1
263, Granted to Player, GREAT_PERSON_INDIVIDUAL_WOLFGANG_AMADEUS_MOZART, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 420, 1, 263
263, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_FRANZ_LISZT, GREAT_PERSON_CLASS_MUSICIAN, ERA_MODERN, 660, -1, -1
265, Granted to Player, GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE, GREAT_PERSON_CLASS_ADMIRAL, ERA_RENAISSANCE, 240, 3, 265
265, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_FRANZ_VON_HIPPER, GREAT_PERSON_CLASS_ADMIRAL, ERA_MODERN, 660, -1, -1
265, Great Person Activated, GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE, GREAT_PERSON_CLASS_GENERAL, Era TBD, 4
266, Great Person Activated, GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 3
274, Granted to Player, GREAT_PERSON_INDIVIDUAL_QIU_YING, GREAT_PERSON_CLASS_ARTIST, ERA_INDUSTRIAL, 420, 5, 274
274, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_EDMONIA_LEWIS, GREAT_PERSON_CLASS_ARTIST, ERA_ATOMIC, 960, -1, -1
275, Great Person Activated, GREAT_PERSON_INDIVIDUAL_QIU_YING, GREAT_PERSON_CLASS_ARTIST, Era TBD, 5
276, Great Person Activated, GREAT_PERSON_INDIVIDUAL_QIU_YING, GREAT_PERSON_CLASS_ARTIST, Era TBD, 5
277, Great Person Activated, GREAT_PERSON_INDIVIDUAL_QIU_YING, GREAT_PERSON_CLASS_ARTIST, Era TBD, 5
282, Granted to Player, GREAT_PERSON_INDIVIDUAL_JANE_AUSTEN, GREAT_PERSON_CLASS_WRITER, ERA_INDUSTRIAL, 420, 1, 282
282, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HG_WELLS, GREAT_PERSON_CLASS_WRITER, ERA_ATOMIC, 960, -1, -1
289, Granted to Player, GREAT_PERSON_INDIVIDUAL_JANAKI_AMMAL, GREAT_PERSON_CLASS_SCIENTIST, ERA_ATOMIC, 1245, 2, 289
289, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MARY_LEAKEY, GREAT_PERSON_CLASS_SCIENTIST, ERA_ATOMIC, 960, -1, -1
290, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JANAKI_AMMAL, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
292, Granted to Player, GREAT_PERSON_INDIVIDUAL_MARY_LEAKEY, GREAT_PERSON_CLASS_SCIENTIST, ERA_ATOMIC, 960, 1, 292
292, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ERWIN_SCHRODINGER, GREAT_PERSON_CLASS_SCIENTIST, ERA_ATOMIC, 960, -1, -1
293, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC, GREAT_PERSON_CLASS_GENERAL, Era TBD, 0
293, Granted to Player, GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 240, 2, 293
293, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JANE_DREW, GREAT_PERSON_CLASS_ENGINEER, ERA_ATOMIC, 960, -1, -1
294, Great Person Activated, GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 2
295, Granted to Player, GREAT_PERSON_INDIVIDUAL_ERWIN_SCHRODINGER, GREAT_PERSON_CLASS_SCIENTIST, ERA_ATOMIC, 960, 5, 295
295, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ABDUS_SALAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_INFORMATION, 1715, -1, -1
296, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ERWIN_SCHRODINGER, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 5
301, Granted to Player, GREAT_PERSON_INDIVIDUAL_JOHN_MONASH, GREAT_PERSON_CLASS_GENERAL, ERA_MODERN, 660, 0, 301
301, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_DWIGHT_EISENHOWER, GREAT_PERSON_CLASS_GENERAL, ERA_ATOMIC, 960, -1, -1
315, Granted to Player, GREAT_PERSON_INDIVIDUAL_ADAM_SMITH, GREAT_PERSON_CLASS_MERCHANT, ERA_INDUSTRIAL, 420, 5, 315
315, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HELENA_RUBINSTEIN, GREAT_PERSON_CLASS_MERCHANT, ERA_ATOMIC, 960, -1, -1
316, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ADAM_SMITH, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 5
328, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JOHN_MONASH, GREAT_PERSON_CLASS_GENERAL, Era TBD, 0
341, Granted to Player, GREAT_PERSON_INDIVIDUAL_ABDUS_SALAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_INFORMATION, 1715, 2, 341
341, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CARL_SAGAN, GREAT_PERSON_CLASS_SCIENTIST, ERA_INFORMATION, 1320, -1, -1
341, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ABDUS_SALAM, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
346, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JANE_AUSTEN, GREAT_PERSON_CLASS_WRITER, Era TBD, 1
349, Great Person Activated, GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 2
351, Granted to Player, GREAT_PERSON_INDIVIDUAL_CARL_SAGAN, GREAT_PERSON_CLASS_SCIENTIST, ERA_INFORMATION, 1320, 5, 351
351, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_STEPHANIE_KWOLEK, GREAT_PERSON_CLASS_SCIENTIST, ERA_INFORMATION, 1320, -1, -1
